Processors,Size,Average Time,Median Time,Minimum Time
1,2000000,0.0050698,0.0050865,0.004851
1,4000000,0.0101418,0.010148,0.009934
1,8000000,0.0202459,0.020263,0.02002
1,16000000,0.0402504,0.040376999999999996,0.039577
2,2000000,0.0026768,0.002535,0.00248
2,4000000,0.0051044,0.0050945,0.005023
2,8000000,0.011576600000000001,0.010683999999999999,0.010208
2,16000000,0.0211588,0.0203625,0.020266
4,2000000,0.0017261,0.001549,0.001271
4,4000000,0.0031758000000000003,0.0026185,0.002545
4,8000000,0.0063376000000000005,0.0051535,0.005114
4,16000000,0.012248,0.010372,0.010242
8,2000000,0.0012073000000000001,0.0011740000000000001,0.001137
8,4000000,0.0023051,0.002291,0.002255
8,8000000,0.0046482,0.004601,0.004503
8,16000000,0.0094735,0.0090645,0.008986
