cores,n,time
1,200000,0.027408
1,400000,0.055575
1,800000,0.111872
1,1600000,0.226947
1,3200000,0.462853
1,6400000,0.946208
2,200000,0.035091
2,400000,0.043740
2,800000,0.073535
2,1600000,0.130745
2,3200000,0.255856
2,6400000,0.500835
4,200000,0.026913
4,400000,0.045261
4,800000,0.062276
4,1600000,0.117406
4,3200000,0.209689
4,6400000,0.408287
8,200000,0.027930
8,400000,0.030599
8,800000,0.049663
8,1600000,0.075708
8,3200000,0.133176
8,6400000,0.243727
16,200000,0.024476
16,400000,0.029462
16,800000,0.033705
16,1600000,0.070154
16,3200000,0.102160
16,6400000,0.189990
32,200000,0.097196
32,400000,0.090800
32,800000,0.102475
32,1600000,0.110824
32,3200000,0.177578
32,6400000,0.276008
